text,label,toxicity,severe_toxicity,obscene,threat,insult,identity_attack
"Oh Chuckles, living with all that white guilt must be miserable.",1,0.725,0.038,0.013,0.0,0.5,0.55
No more niqqers nips spics or Jews,1,0.786,0.157,0.229,0.043,0.557,0.771
"Sorry to have to do this, but just to see if profanity filtering is enabled: fuck.",1,0.803,0.106,0.727,0.0,0.212,0.0
"I love seeing these dumb-butt, wannabe macho thugs get the book thrown at them. -- Paul",1,0.914,0.121,0.19,0.052,0.879,0.034
You support Trump...an avowed racist. Why?,1,0.8,0.0,0.0,0.0,0.8,0.0
"So, Ms. Ricci, you weren't ""embarrassed"" by W's two ridiculous and costly wars, Katrina, his melting down of the economy?
Okay, we welcome you to the saner side of politics, better late...",1,0.8,0.0,0.0,0.0,0.8,0.0
"If you can't deal with a dog, then you should not be allowed to have one. Please find a humane person that is able to love and take care of this beautiful animal. You are a very sick person.",1,0.8,0.0,0.0,0.0,0.8,0.0
"Nope.  They were FEDERAL LANDS ever since the Louisiana Purchase.  The lands in question never passed to private ownership.  The nature refuge these idiots ""occupied"" had been set aside by TEDDY ROOSEVELT in the early 1900s.",1,0.724,0.017,0.069,0.017,0.741,0.034
"Only issue I had with the old system was the spam.  Lots of idiots that post.  You don't like it, just don't read them.  Pretty easy.

Will see how this goes.",1,0.772,0.018,0.193,0.0,0.719,0.018
You're such a douche. You have no idea what you're talking about.,1,0.774,0.0,0.075,0.019,0.736,0.0
"""If you listen to non-Joanna Newsom music, there is a very good chance you are fucking with weak shit""

I don't no about her music but your usage of the English language is questionable.",1,0.825,0.087,0.8,0.0,0.613,0.025
"What happened to the Willy Week? This revue is terrible.  Also, associating the British empire with evilness is fucking stupid of you. The British freed their slaves first and the Magna Carta was groundbreaking. 

Your revue smells like a lingering wet fart.",1,0.8,0.1,0.686,0.0,0.757,0.129
"testing purposes: 

you are an idiot and i can't stand ignorant donutholes.",1,0.867,0.05,0.25,0.0,0.85,0.017
"THIS IS A TEST: 

Any fool knows Star Trek is the best albeit lacking the technology available to more recent shows. Your post is total crap. 

That's not what I really think or how I talk...just giving you a crap comment :)",1,0.782,0.0,0.6,0.0,0.727,0.018
"Yeah, that man would look pretty ridiculous, given that 80% of congress, 95% of Fortune 500 CEOs, and 100% of American presidents are male. Why, do you suppose, do those women make an issue of that?",1,0.8,0.1,0.1,0.0,0.8,0.2
Who cares. He's such an untalented egotistical idiot.,1,0.917,0.067,0.183,0.0,0.917,0.0
So ignorant.  Not everyone has a life set up to buy a home.,1,1.0,0.0,0.2,0.0,1.0,0.0
She's a scumbag and a moron- When the fuzz is on your tail get out of dodge!,1,0.908,0.079,0.342,0.0,0.868,0.039
"if only there were a tax on stupidity, we could start taxing liberals, and put their stupidity on a diet.",1,0.881,0.09,0.104,0.015,0.866,0.194
"Socialism, FAILS EVERY TIME. Always has, always will. Welfare idiots love handouts, always have , always will.",1,0.757,0.041,0.176,0.0,0.743,0.027
This new comment section is about as ridiculous as the reporting.,1,0.719,0.016,0.109,0.0,0.688,0.0
Thousands turn out for Justin Bieber concerts too. It's still shit.,1,0.914,0.1,0.871,0.0,0.6,0.029
"Right.  Those damned affluent white people should only eat their own food, like cod cakes and boiled potatoes.  No enchiladas for them!",1,0.757,0.129,0.614,0.0,0.671,0.671
"This reminds me of that Billy Connelly school story... When the kids laughed at something the dry and crusty teacher would ask ""What's so funny Mr. Connelly ? Answer: ""You'll never know you sad bastard!""",1,0.762,0.013,0.475,0.0,0.75,0.0
"You literally sound like the most judgmental, closed minded, ignorant and opinionated asshole. You probably vote for trump too.",1,0.909,0.136,0.333,0.0,0.909,0.0
Sounds like some of you are scared of pussy and its obvious who that is!😁,1,0.825,0.087,0.775,0.0,0.325,0.0
"What a pile of fucking tripe. Portland died the day Mark Zussman bought Willamette Week. Totally makes sense that some rich guy who lives in Riverdale owns Portland's alternative weekly. If that's not the fox guarding the coop, then you tell me what is.",1,0.85,0.1,0.783,0.0,0.65,0.017
Yet call out all Muslims for the acts of a few will get you pilloried.   So why is it okay to smear an entire religion over these few idiots?  Or is this because it's okay to bash Christian sects?,1,0.913,0.05,0.237,0.112,0.887,0.613
"It's fascinating to read how Jules and other progressive Christians practice their religion. It sounds like they plug their ears and cover their eyes when the ""yucky"" ""scary"" parts come on screen but still like the movie.",1,0.8,0.0,0.0,0.0,0.8,0.0
Please no - he's a ass and so very untalented.,1,0.839,0.0,0.232,0.0,0.804,0.036
"The tip is not built into the cost douche bag. I don't unlock my doors to let passengers in until they extinguish their cigarette. If you so much ss reach for my heat control or radio control, I won't say one word, but I will pull over and kick your monkey ass out of my car.",1,0.738,0.075,0.625,0.463,0.475,0.013
"No, they are WOEFULLY IGNORANT and are ALLOWING THE FEDERAL GOVERNMENT to deny the CONSTITUTION.",1,1.0,0.0,0.0,0.0,0.833,0.0
Anyone who allows Obama to nominate him/her is throwing away a chance to ever be nominated for the position in the future.  Anyone that stupid doesn't deserve the job.,1,0.82,0.0,0.115,0.0,0.787,0.0
"Actually,  I do think voters are stupid and deserve what they elect. If they are swayed by advertising so be it. YOU can NOT deny speech to anyone - no matter how they pool their funds. Get over the Bill of Rights and move on.",1,0.757,0.014,0.176,0.014,0.716,0.068
"You are a fucking cunt, lady.",1,0.829,0.071,0.786,0.0,0.771,0.1
