text,label
"You should vote for whoever you like for whatever reason you like. Isn't is nice to have the choice between Bernie and Hillary. Either of them would be far, far superior to anyone on the Republican dark side.",0
"If you're honestly that worried about what's going into your body.........

You can grow your own!",0
"Since I moved back to Springfield and no longer have to pay Eugene taxes, the entire series of debacles that constitute Eugene City Government are much more entertaining than they used to be.   Every now and then they reach the level of ""You can't make this stuff up!""",0
I understand that meth get a hold and then people kiss their lives goodbye. Tragic.,0
"Define aggregate demand, and explain why it increases just because a higher wage is paid.",0
The synced video and two others released by the Deschutes County Sheriff's Office Tuesday evening are embedded in the story above.,0
"For the philosophical (and financial) sources of the new Range Wars and associated movements, Google: ""The New Anti-Federalists: The Wellspring of the Bundy Sagebrush Insurrection"".",0
"She's an entertainer, sorta like Trump but with a different vocabulary and target audience.",0
"Yeah, good point, that was kind of defeatist on my part. It just seems so much harder for someone without personal wealth to really compete in the process.",0
It's called cutting the budget Rick....,0
"You would be guilty of at least manslaughter in such a situation.   If you own a gun, you need to read Oregon Revised Statute 166.219   It explains when it is legal to use deadly force.

This scenario you describe is not one of the 3 exceptions allowed under the law.",0
"I don't find it to be a tricky balance whatsoever. 
The good parts (I hope) are the culinary works, artwork, etc. 
The bad is the bad. Period. 

Can easily enjoy one and not support the other can't you? For heavens sake, we do it all the time.

This is just PC nonsense gone out-of-control.",0
"I think the letters have not been posted yesterday or today. Don't know if it relates to the new ""Civil"" system.",0
Motley...You are good at looking things up. 1n 1996 it was the 104th congress and Clinton was in office. I can't find how this thing was changed and who changed it. I assume Clinton voted for the change.,0
"One can only wonder whether any single section of the article above could have survived the civil comments filter.  Good gravy, that was salty.",0
"I understand that sergeants perform patrol as well and supervise the officers. I'm just wondering how much supervision an officer requires in, say a one month period. I can understand the need for oversight on a major accident or arrest, but for how many stops did you make today? not so much.",0
Bummer even though I am a Husky fan I always enjoyed watching her play and was looking forward to seeing her in the Pac-12 tournament,0
The only fair tax is a State Sales Tax.  Everyone pays who lives here and who visits. This should be passed first and is the easiest to implemented.,0
"As far as I can tell we agree, sorry for the confusion!",0
What I wouldn't give to be in Portland during this exhibit. Your review makes me want to jump inside these photos and feel them for myself.,0
"Well, he just ended his career working as a teacher anywhere, and in any capacity.",0
"really!...""older"" would have been more appropriate, especially since bethel is older than Eugene.",0
It's not just the animals that are patient and forgiving.  Dan and Tammy are good people.  The horses are beautiful.,0
"Users that feel comfortable providing their real names are free to do so, Pal123. I happen to be IT director for the Cliven Bundy Ranch Facebook page, so they might fire me if they were to find out my liberal views.",0
Thanks for the Love WW!,0
Great job ladies see you in Indy😀,0
"Silly me - here I thought it was to identify the ""better"" students and give them opportunities commensurate with their abilities. But I guess there is no such thing as a ""better"" student.

From each according to his ability, to each according to his need - right?",0
"Market Trends-
http://members.efn.org/~hkrieger/m_trends.jpg
from the series, ""Mall-aise"",
http://members.efn.org/~hkrieger/mallaise.htm",0
"We're rolling out a fix for this today, so it remembers your most recent setting. I agree, the ""highest rated"" sort isn't great for people who comment frequently!",0
That's brotherly love for you.  I have three grown sons and can't picture them acting like that!,0
"If he is released tomorrow, are you willing to welcome him into your home?
Yes, he was a messed up kid. When kids are messed up to his magnitude they usually turn into messed up adults.
I'm not willing to take that risk.",0
"Currently and for the foreseeable future, society as we know it could not survive the loss of fossil fuel.  The students apparently have not thought this through.  Even if we could survive the loss of fossil fuel, the requested UO disinvestment will not contribute to fossil fuel reduction.",0
Hey Dean..... glad you finally figured out how to port over to the new format.,0
"Perhaps the republicans can ""Bork"" this nominee, or, they can take another shot from the dem play book, and scorch earth his character like what was done with Thomas, by a political party that fully backed Clinton who was actually guilty of philandering in a manner Bill Cosby can be proud.",0
"It may just be ignorance of the bumper sticker reference.  I haven't seen one of those since the Red Dawn movie one, and that was a 1984 movie with a star who is now dead.  

It's only humorous if you know what's being parodied.",0
